id,UNIVERSE,SYMBOL
615,NIFTY MID-SMALL,COFORGE
616,NIFTY MID-SMALL,CONCOR
617,NIFTY MID-SMALL,COROMANDEL
618,NIFTY MID-SMALL,CROMPTON
619,NIFTY MID-SMALL,CUMMINSIND
620,NIFTY MID-SMALL,DALBHARAT
621,NIFTY MID-SMALL,DEEPAKNTR
622,NIFTY MID-SMALL,DIXON
623,NIFTY MID-SMALL,ESCORTS
624,NIFTY MID-SMALL,FEDERALBNK
625,NIFTY MID-SMALL,GODREJPROP
626,NIFTY MID-SMALL,GUJGASLTD
627,NIFTY MID-SMALL,HDFCAMC
628,NIFTY MID-SMALL,HINDPETRO
629,NIFTY MID-SMALL,IDEA
630,NIFTY MID-SMALL,IDFCFIRSTB
631,NIFTY MID-SMALL,IGL
632,NIFTY MID-SMALL,INDHOTEL
633,NIFTY MID-SMALL,INDUSTOWER
634,NIFTY MID-SMALL,IPCALAB
635,NIFTY MID-SMALL,JUBLFOOD
636,NIFTY MID-SMALL,L_TFH
637,NIFTY MID-SMALL,LALPATHLAB
638,NIFTY MID-SMALL,LAURUSLABS
639,NIFTY MID-SMALL,LICHSGFIN
640,NIFTY MID-SMALL,LTTS
641,NIFTY MID-SMALL,LUPIN
642,NIFTY MID-SMALL,M&MFIN
643,NIFTY MID-SMALL,MFSL
644,NIFTY MID-SMALL,MPHASIS
645,NIFTY MID-SMALL,MRF
646,NIFTY MID-SMALL,NAVINFLUOR
647,NIFTY MID-SMALL,NMDC
648,NIFTY MID-SMALL,OBEROIRLTY
649,NIFTY MID-SMALL,PAGEIND
650,NIFTY MID-SMALL,PEL
651,NIFTY MID-SMALL,PERSISTENT
652,NIFTY MID-SMALL,PETRONET
653,NIFTY MID-SMALL,PFC
654,NIFTY MID-SMALL,POLYCAB
655,NIFTY MID-SMALL,RAMCOCEM
656,NIFTY MID-SMALL,RECLTD
657,NIFTY MID-SMALL,SAIL
658,NIFTY MID-SMALL,SUNTV
659,NIFTY MID-SMALL,SYNGENE
660,NIFTY MID-SMALL,TATACHEM
661,NIFTY MID-SMALL,TATACOMM
662,NIFTY MID-SMALL,UBL
663,NIFTY MID-SMALL,VOLTAS
664,NIFTY MID-SMALL,ZEEL
665,NIFTY MID-SMALL,AARTIIND
666,NIFTY MID-SMALL,ABBOTINDIA
667,NIFTY MID-SMALL,ATUL
668,NIFTY MID-SMALL,BALRAMCHIN
669,NIFTY MID-SMALL,BSOFT
670,NIFTY MID-SMALL,CANFINHOME
671,NIFTY MID-SMALL,CHAMBLFERT
672,NIFTY MID-SMALL,CUB
673,NIFTY MID-SMALL,DELTACORP
674,NIFTY MID-SMALL,EXIDEIND
675,NIFTY MID-SMALL,GLENMARK
676,NIFTY MID-SMALL,GMRINFRA
677,NIFTY MID-SMALL,GNFC
678,NIFTY MID-SMALL,GRANULES
679,NIFTY MID-SMALL,HINDCOPPER
680,NIFTY MID-SMALL,IDFC
681,NIFTY MID-SMALL,IEX
682,NIFTY MID-SMALL,INDIACEM
683,NIFTY MID-SMALL,INDIAMART
684,NIFTY MID-SMALL,JKCEMENT
685,NIFTY MID-SMALL,MANAPPURAM
686,NIFTY MID-SMALL,MCX
687,NIFTY MID-SMALL,METROPOLIS
688,NIFTY MID-SMALL,MGL
689,NIFTY MID-SMALL,NATIONALUM
690,NIFTY MID-SMALL,OFSS
691,NIFTY MID-SMALL,PVRINOX
692,NIFTY MID-SMALL,RBLBANK
693,NIFTY MID-SMALL,APLAPOLLO
694,NIFTY MID-SMALL,BANKINDIA
695,NIFTY MID-SMALL,BDL
696,NIFTY MID-SMALL,CGPOWER
697,NIFTY MID-SMALL,DELHIVERY
698,NIFTY MID-SMALL,DEVYANI
699,NIFTY MID-SMALL,FACT
700,NIFTY MID-SMALL,FLUOROCHEM
701,NIFTY MID-SMALL,FORTIS
702,NIFTY MID-SMALL,GLAND
703,NIFTY MID-SMALL,INDIANB
704,NIFTY MID-SMALL,IRFC
705,NIFTY MID-SMALL,JSWENERGY
706,NIFTY MID-SMALL,KPITTECH
707,NIFTY MID-SMALL,LODHA
708,NIFTY MID-SMALL,MANKIND
709,NIFTY MID-SMALL,MAXHEALTH
710,NIFTY MID-SMALL,MAZDOCK
711,NIFTY MID-SMALL,MSUMI
712,NIFTY MID-SMALL,NHPC
713,NIFTY MID-SMALL,NYKAA
714,NIFTY MID-SMALL,OIL
715,NIFTY MID-SMALL,PATANJALI
716,NIFTY MID-SMALL,PAYTM
717,NIFTY MID-SMALL,POLICYBZR
718,NIFTY MID-SMALL,POONAWALLA
719,NIFTY MID-SMALL,PRESTIGE
720,NIFTY MID-SMALL,RVNL
721,NIFTY MID-SMALL,SONACOMS
722,NIFTY MID-SMALL,TATAELXSI
723,NIFTY MID-SMALL,TIINDIA
724,NIFTY MID-SMALL,TORNTPOWER
725,NIFTY MID-SMALL,UNIONBANK
726,NIFTY MID-SMALL,YESBANK
727,NIFTY MID-SMALL,360ONE
728,NIFTY MID-SMALL,3MINDIA
729,NIFTY MID-SMALL,AARTIDRUGS
730,NIFTY MID-SMALL,AAVAS
731,NIFTY MID-SMALL,ACI
732,NIFTY MID-SMALL,AEGISCHEM
733,NIFTY MID-SMALL,AETHER
734,NIFTY MID-SMALL,AFFLE
735,NIFTY MID-SMALL,AIAENG
736,NIFTY MID-SMALL,AJANTPHARM
737,NIFTY MID-SMALL,ALKYLAMINE
738,NIFTY MID-SMALL,ALLCARGO
739,NIFTY MID-SMALL,ALOKINDS
740,NIFTY MID-SMALL,AMBER
741,NIFTY MID-SMALL,ANGELONE
742,NIFTY MID-SMALL,ANURAS
743,NIFTY MID-SMALL,APARINDS
744,NIFTY MID-SMALL,APLLTD
745,NIFTY MID-SMALL,APTUS
746,NIFTY MID-SMALL,ARE&M
747,NIFTY MID-SMALL,ASAHIINDIA
748,NIFTY MID-SMALL,ASTERDM
749,NIFTY MID-SMALL,AVANTIFEED
750,NIFTY MID-SMALL,BALAMINES
751,NIFTY MID-SMALL,BAYERCROP
752,NIFTY MID-SMALL,BBTC
753,NIFTY MID-SMALL,BCG
754,NIFTY MID-SMALL,BEML
755,NIFTY MID-SMALL,BIKAJI
756,NIFTY MID-SMALL,BIRLACORPN
757,NIFTY MID-SMALL,BLS
758,NIFTY MID-SMALL,BLUEDART
